input,output
"Write a Python script to find the factorial of a number, and explain its use in combinatorics.","{'intent': ['PROBLEM_SOLVING', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['COMPUTER_SCIENCE', 'MATH'], 'topic': ['PROGRAMMING_BASICS', 'STATISTICS'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_11']}"
"How does the principle of buoyancy apply to ships, and what are its environmental impacts?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS', 'GEOGRAPHY'], 'topic': ['LAWS_OF_MOTION', 'ENVIRONMENTAL_STUDIES'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
"What is the role of the nervous system, and how does it interact with other body systems?","{'intent': ['CONCEPT_EXPLANATION', 'THEORY_REVIEW', 'REAL_WORLD_APPLICATION'], 'subject': ['BIOLOGY'], 'topic': ['HUMAN_BODY', 'CELL_STRUCTURE'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"Calculate the median and mode of the dataset [1, 3, 3, 5, 7], and explain their use in data interpretation.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH'], 'topic': ['STATISTICS'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_9']}"
Analyze the theme of power in 'Julius Caesar' and solve a related comprehension question.,"{'intent': ['CONCEPT_EXPLANATION', 'COMPREHENSION', 'THEORY_REVIEW'], 'subject': ['ENGLISH'], 'topic': ['LITERATURE', 'COMPREHENSION'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
How do glaciers shape landscapes and influence water resources?,"{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['GEOGRAPHY'], 'topic': ['PHYSICAL_FEATURES', 'RESOURCES'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"What is the role of catalysts in chemical reactions, and how are they used in industry?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'EXAM_PREPARATION'], 'subject': ['CHEMISTRY'], 'topic': ['CHEMICAL_REACTIONS', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"Solve for the derivative of f(x) = ln(x) / x, and discuss its applications in optimization.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH'], 'topic': ['CALCULUS'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
How did World War II impact technological advancements and global alliances?,"{'intent': ['THEORY_REVIEW', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['HISTORY', 'COMPUTER_SCIENCE'], 'topic': ['WORLD_WARS', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"What are the ecological impacts of urbanization, and how can they be studied experimentally?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'EXAM_PREPARATION'], 'subject': ['GEOGRAPHY', 'BIOLOGY'], 'topic': ['ENVIRONMENTAL_STUDIES', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"Write a program to implement a binary search, and explain its efficiency in data retrieval.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['COMPUTER_SCIENCE'], 'topic': ['ALGORITHMS', 'DATA_STRUCTURES'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"What is the principle of electric circuits, and how is it applied in household appliances?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS'], 'topic': ['ELECTRICITY', 'NOT_FOUND'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
Which of the following are functions of the cell membrane? A) Regulates transport B) Stores DNA C) Synthesizes proteins D) Maintains cell shape,"{'intent': ['MCQ_PRACTICE', 'CONCEPT_EXPLANATION', 'EXAM_PREPARATION'], 'subject': ['BIOLOGY'], 'topic': ['CELL_STRUCTURE', 'HUMAN_BODY'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_7']}"
"What are the rules for using apostrophes, and analyze their use in a given sentence?","{'intent': ['CONCEPT_EXPLANATION', 'COMPREHENSION', 'EXAM_PREPARATION'], 'subject': ['ENGLISH'], 'topic': ['GRAMMAR', 'COMPREHENSION'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
"Calculate the perimeter of a rectangle with length 6cm and width 4cm, and explain its use in construction.","{'intent': ['PROBLEM_SOLVING', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['MATH'], 'topic': ['GEOMETRY'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_8']}"
"What are the causes and effects of ozone depletion, and how can they be mitigated?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['CHEMISTRY', 'GEOGRAPHY'], 'topic': ['CHEMICAL_REACTIONS', 'ENVIRONMENTAL_STUDIES'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
Explain the theory of relativity and its applications in GPS technology.,"{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS', 'COMPUTER_SCIENCE'], 'topic': ['NOT_FOUND', 'ALGORITHMS'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"Solve the quadratic equation x² - 4x + 4 = 0, and explain its geometric significance.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH'], 'topic': ['ALGEBRA', 'GEOMETRY'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
Which of the following are characteristics of acids? A) Taste sour B) pH > 7 C) Turn litmus blue D) React with metals,"{'intent': ['MCQ_PRACTICE', 'CONCEPT_EXPLANATION', 'EXAM_PREPARATION'], 'subject': ['CHEMISTRY'], 'topic': ['ACIDS_BASES_SALTS', 'CHEMICAL_REACTIONS'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_8']}"
How did the Roman Empire influence modern legal systems and architecture?,"{'intent': ['THEORY_REVIEW', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['HISTORY'], 'topic': ['ANCIENT_CIVILIZATIONS', 'MODERN_HISTORY'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"Write a Python script to generate prime numbers, and discuss their role in cryptography.","{'intent': ['PROBLEM_SOLVING', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['COMPUTER_SCIENCE', 'MATH'], 'topic': ['PROGRAMMING_BASICS', 'NUMBER_SYSTEMS', 'CYBER_SECURITY'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"How does the law of gravitation affect planetary motion, and what are its implications for space exploration?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS'], 'topic': ['GRAVITATION', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"What is the function of the digestive system, and how does it interact with environmental factors?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['BIOLOGY', 'GEOGRAPHY'], 'topic': ['HUMAN_BODY', 'ENVIRONMENTAL_STUDIES'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
"Calculate the variance of the dataset [2, 4, 6, 8, 10], and explain its use in statistical analysis.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH'], 'topic': ['STATISTICS'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_11']}"
Analyze the theme of revenge in 'Hamlet' and answer a related comprehension question.,"{'intent': ['CONCEPT_EXPLANATION', 'COMPREHENSION', 'THEORY_REVIEW'], 'subject': ['ENGLISH'], 'topic': ['LITERATURE', 'COMPREHENSION'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
How do earthquakes shape physical landscapes and affect human populations?,"{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['GEOGRAPHY', 'PHYSICS'], 'topic': ['PHYSICAL_FEATURES', 'NOT_FOUND'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"What is the significance of chemical equilibrium, and how is it applied in industrial processes?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'EXAM_PREPARATION'], 'subject': ['CHEMISTRY'], 'topic': ['CHEMICAL_REACTIONS', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"Solve for the integral of ∫sin(x) dx from 0 to π, and discuss its applications in wave mechanics.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH', 'PHYSICS'], 'topic': ['CALCULUS', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
How did the Age of Exploration influence global trade and cultural exchange?,"{'intent': ['THEORY_REVIEW', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['HISTORY', 'GEOGRAPHY'], 'topic': ['MODERN_HISTORY', 'RESOURCES'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"What are the ecological impacts of invasive species, and how can they be studied in a lab?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'EXAM_PREPARATION'], 'subject': ['BIOLOGY', 'GEOGRAPHY'], 'topic': ['NOT_FOUND', 'ENVIRONMENTAL_STUDIES'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"Write a program to implement a linked list, and explain its use in memory management.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['COMPUTER_SCIENCE'], 'topic': ['DATA_STRUCTURES', 'ALGORITHMS'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"What is the principle of electromagnetic induction, and how is it used in power generation?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS'], 'topic': ['ELECTRICITY', 'NOT_FOUND'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
Which of the following are components of DNA? A) Phosphate group B) Amino acid C) Sugar molecule D) Nitrogenous base,"{'intent': ['MCQ_PRACTICE', 'CONCEPT_EXPLANATION', 'EXAM_PREPARATION'], 'subject': ['BIOLOGY'], 'topic': ['CELL_STRUCTURE', 'HEREDITY_AND_EVOLUTION'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_8']}"
"What are the rules for using colons and semicolons, and analyze their use in a given paragraph?","{'intent': ['CONCEPT_EXPLANATION', 'COMPREHENSION', 'EXAM_PREPARATION'], 'subject': ['ENGLISH'], 'topic': ['GRAMMAR', 'COMPREHENSION'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
"Calculate the area of a triangle with base 5cm and height 6cm, and explain its use in engineering.","{'intent': ['PROBLEM_SOLVING', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['MATH'], 'topic': ['GEOMETRY'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_7']}"
"What are the causes and effects of soil erosion, and how can they be mitigated?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['GEOGRAPHY', 'BIOLOGY'], 'topic': ['ENVIRONMENTAL_STUDIES', 'NOT_FOUND'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
Explain the concept of quantum mechanics and its applications in modern technology.,"{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS', 'COMPUTER_SCIENCE'], 'topic': ['NOT_FOUND', 'CYBER_SECURITY'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"Solve the equation 2sin(x) = 1 for x in [0, π], and discuss its use in wave analysis.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH', 'PHYSICS'], 'topic': ['TRIGONOMETRY', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
Which of the following are properties of bases? A) Taste bitter B) pH < 7 C) Slippery feel D) React with acids,"{'intent': ['MCQ_PRACTICE', 'CONCEPT_EXPLANATION', 'EXAM_PREPARATION'], 'subject': ['CHEMISTRY'], 'topic': ['ACIDS_BASES_SALTS', 'CHEMICAL_REACTIONS'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_8']}"
How did the Enlightenment influence modern democracy and scientific thought?,"{'intent': ['THEORY_REVIEW', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['HISTORY'], 'topic': ['MODERN_HISTORY', 'FREEDOM_MOVEMENTS'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"Write a Python script to check if a string is a palindrome, and explain its use in text processing.","{'intent': ['PROBLEM_SOLVING', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['COMPUTER_SCIENCE'], 'topic': ['PROGRAMMING_BASICS', 'ALGORITHMS'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_11']}"
"How does the principle of conservation of momentum apply to collisions, and what are its implications for safety engineering?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS'], 'topic': ['LAWS_OF_MOTION', 'WORK_AND_ENERGY'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"What is the role of the endocrine system, and how does it interact with environmental factors?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['BIOLOGY', 'GEOGRAPHY'], 'topic': ['HUMAN_BODY', 'ENVIRONMENTAL_STUDIES'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
"Calculate the range of the dataset [3, 5, 7, 9, 11], and explain its use in statistical modeling.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH'], 'topic': ['STATISTICS'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_9']}"
Analyze the theme of identity in 'The Catcher in the Rye' and answer a related comprehension question.,"{'intent': ['CONCEPT_EXPLANATION', 'COMPREHENSION', 'THEORY_REVIEW'], 'subject': ['ENGLISH'], 'topic': ['LITERATURE', 'COMPREHENSION'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
How do monsoons affect agriculture and water resources in tropical regions?,"{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['GEOGRAPHY'], 'topic': ['WEATHER_AND_CLIMATE', 'RESOURCES'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"What is the role of valence electrons in chemical bonding, and how are they used in material science?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'EXAM_PREPARATION'], 'subject': ['CHEMISTRY'], 'topic': ['ATOMIC_STRUCTURE', 'METALS_NONMETALS'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"Solve for the derivative of f(x) = x²e^x, and discuss its applications in growth models.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH'], 'topic': ['CALCULUS'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
How did the Industrial Revolution impact urbanization and technological innovation?,"{'intent': ['THEORY_REVIEW', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['HISTORY', 'GEOGRAPHY'], 'topic': ['MODERN_HISTORY', 'ENVIRONMENTAL_STUDIES'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"What are the ecological impacts of overfishing, and how can they be studied experimentally?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'EXAM_PREPARATION'], 'subject': ['BIOLOGY', 'GEOGRAPHY'], 'topic': ['NOT_FOUND', 'ENVIRONMENTAL_STUDIES'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"Write a program to implement a hash table, and explain its use in database systems.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['COMPUTER_SCIENCE'], 'topic': ['DATA_STRUCTURES', 'ALGORITHMS'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"What is the principle of wave-particle duality, and how is it applied in electron microscopy?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS', 'BIOLOGY'], 'topic': ['OPTICS', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
Which of the following are functions of mitochondria? A) Energy production B) DNA storage C) Protein synthesis D) Cellular respiration,"{'intent': ['MCQ_PRACTICE', 'CONCEPT_EXPLANATION', 'EXAM_PREPARATION'], 'subject': ['BIOLOGY'], 'topic': ['CELL_STRUCTURE', 'HUMAN_BODY'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_7']}"
"What are the rules for using quotation marks, and analyze their use in a given text?","{'intent': ['CONCEPT_EXPLANATION', 'COMPREHENSION', 'EXAM_PREPARATION'], 'subject': ['ENGLISH'], 'topic': ['GRAMMAR', 'COMPREHENSION'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
"Calculate the volume of a cylinder with radius 3cm and height 5cm, and explain its use in engineering.","{'intent': ['PROBLEM_SOLVING', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['MATH'], 'topic': ['GEOMETRY'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_8']}"
"What are the causes and effects of desertification, and how can they be mitigated?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['GEOGRAPHY', 'BIOLOGY'], 'topic': ['ENVIRONMENTAL_STUDIES', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
Explain the concept of plate tectonics and its role in earthquake prediction and resource exploration.,"{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['GEOGRAPHY', 'PHYSICS'], 'topic': ['PHYSICAL_FEATURES', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"Solve the equation cos(x) = -0.5 for x in [0, 2π], and discuss its applications in signal processing.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH', 'COMPUTER_SCIENCE'], 'topic': ['TRIGONOMETRY', 'ALGORITHMS'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
Which of the following are characteristics of metalloids? A) Semi-conductors B) Brittle C) Form covalent bonds D) High melting point,"{'intent': ['MCQ_PRACTICE', 'CONCEPT_EXPLANATION', 'EXAM_PREPARATION'], 'subject': ['CHEMISTRY'], 'topic': ['METALS_NONMETALS', 'PERIODIC_TABLE'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_8']}"
How did the French Revolution influence political ideologies and social structures?,"{'intent': ['THEORY_REVIEW', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['HISTORY'], 'topic': ['FREEDOM_MOVEMENTS', 'MODERN_HISTORY'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"Write a Python script to sort a list using bubble sort, and explain its efficiency in algorithm design.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['COMPUTER_SCIENCE'], 'topic': ['ALGORITHMS', 'PROGRAMMING_BASICS'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_11']}"
"How does the principle of refraction apply to lenses, and what are its uses in optical instruments?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS'], 'topic': ['OPTICS', 'NOT_FOUND'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
"What is the role of the immune system, and how does it interact with environmental pathogens?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['BIOLOGY', 'GEOGRAPHY'], 'topic': ['HUMAN_BODY', 'MICROORGANISMS'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"Calculate the interquartile range of the dataset [1, 3, 5, 7, 9, 11], and explain its use in data analysis.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH'], 'topic': ['STATISTICS'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_11']}"
Analyze the theme of freedom in '1984' and answer a related comprehension question.,"{'intent': ['CONCEPT_EXPLANATION', 'COMPREHENSION', 'THEORY_REVIEW'], 'subject': ['ENGLISH'], 'topic': ['LITERATURE', 'COMPREHENSION'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
How do wetlands support biodiversity and influence water management?,"{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['GEOGRAPHY', 'BIOLOGY'], 'topic': ['ENVIRONMENTAL_STUDIES', 'NOT_FOUND'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"What is the role of stoichiometry in chemical reactions, and how is it used in laboratory experiments?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'EXAM_PREPARATION'], 'subject': ['CHEMISTRY'], 'topic': ['CHEMICAL_REACTIONS', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"Solve for the integral of ∫x e^x dx from 0 to 1, and discuss its applications in physics.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH', 'PHYSICS'], 'topic': ['CALCULUS', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
How did the Civil Rights Movement influence social justice and legislative changes?,"{'intent': ['THEORY_REVIEW', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['HISTORY'], 'topic': ['FREEDOM_MOVEMENTS', 'MODERN_HISTORY'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"What are the ecological impacts of climate change on marine ecosystems, and how can they be studied?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'EXAM_PREPARATION'], 'subject': ['BIOLOGY', 'GEOGRAPHY'], 'topic': ['NOT_FOUND', 'ENVIRONMENTAL_STUDIES'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"Write a program to implement a binary tree, and explain its use in data organization.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['COMPUTER_SCIENCE'], 'topic': ['DATA_STRUCTURES', 'ALGORITHMS'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"What is the principle of electric fields, and how is it applied in capacitor design?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS'], 'topic': ['ELECTRICITY', 'NOT_FOUND'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
Which of the following are components of a virus? A) Capsid B) Nucleus C) Genetic material D) Cell wall,"{'intent': ['MCQ_PRACTICE', 'CONCEPT_EXPLANATION', 'EXAM_PREPARATION'], 'subject': ['BIOLOGY'], 'topic': ['MICROORGANISMS', 'CELL_STRUCTURE'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_8']}"
"What are the rules for parallel sentence structure, and analyze their use in a given essay?","{'intent': ['CONCEPT_EXPLANATION', 'COMPREHENSION', 'EXAM_PREPARATION'], 'subject': ['ENGLISH'], 'topic': ['GRAMMAR', 'COMPREHENSION'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
"Calculate the circumference of a circle with radius 7cm, and explain its use in mechanical engineering.","{'intent': ['PROBLEM_SOLVING', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['MATH'], 'topic': ['GEOMETRY'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_7']}"
"What are the causes and effects of deforestation, and how can they be mitigated through sustainable practices?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['GEOGRAPHY', 'BIOLOGY'], 'topic': ['ENVIRONMENTAL_STUDIES', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
Explain the concept of nuclear fission and its applications in energy production and weaponry.,"{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS', 'CHEMISTRY'], 'topic': ['NOT_FOUND', 'CHEMICAL_REACTIONS'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"Solve the system of equations: x + y = 3, 2x - y = 0, and discuss its use in linear programming.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH'], 'topic': ['ALGEBRA', 'NOT_FOUND'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
Which of the following are properties of transition metals? A) High density B) Form colored compounds C) Low melting point D) Catalytic activity,"{'intent': ['MCQ_PRACTICE', 'CONCEPT_EXPLANATION', 'EXAM_PREPARATION'], 'subject': ['CHEMISTRY'], 'topic': ['PERIODIC_TABLE', 'METALS_NONMETALS'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_8']}"
How did the ancient Greek civilization contribute to mathematics and philosophy?,"{'intent': ['THEORY_REVIEW', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['HISTORY', 'MATH'], 'topic': ['ANCIENT_CIVILIZATIONS', 'GEOMETRY'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"Write a Python script to calculate the GCD of two numbers, and explain its use in cryptography.","{'intent': ['PROBLEM_SOLVING', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['COMPUTER_SCIENCE', 'MATH'], 'topic': ['PROGRAMMING_BASICS', 'NUMBER_SYSTEMS', 'CYBER_SECURITY'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
